Report,Elapsed Time (s),CPI Rate,Retiring (%),Front-End Bound (%),Bad Speculation (%),Memory Bound (%),Core Bound (%),Average CPU Frequency (GHz)
503_2600_0,42.629,0.639,40.0,3.8,0.3,18.7,37.2,2.592
503_2600_1,42.548,0.638,38.9,2.9,0.6,17.0,40.6,2.592
503_2600_2,42.612,0.639,40.3,4.3,0.2,18.1,37.2,2.591
503_2600_3,42.579,0.638,39.2,2.7,0.4,17.1,40.5,2.592
503_2600_4,42.424,0.636,39.8,3.7,0.3,16.5,39.7,2.591
503_3700_0,32.278,0.685,35.7,3.2,0.6,23.3,37.1,3.672
503_3700_1,32.346,0.684,35.6,3.5,0.3,23.8,36.8,3.665
503_3700_2,32.312,0.684,36.0,4.5,0.5,23.2,35.8,3.666
503_3700_3,32.351,0.685,36.8,3.4,0.3,22.8,36.7,3.668
503_3700_4,32.341,0.684,36.0,3.4,0.3,23.6,36.6,3.664
507_1000_0,88.692,0.585,43.2,4.6,0.1,16.2,35.9,0.9974059999999999
507_1000_1,88.690,0.585,43.1,4.5,0.1,17.3,35.0,0.997282
507_1000_2,88.730,0.585,43.0,4.6,0.1,18.0,34.3,0.9979389999999999
507_1000_3,88.666,0.584,43.5,4.3,0.2,17.4,34.7,0.997214
507_1000_4,88.641,0.584,43.3,4.3,0.1,17.1,35.2,0.997293
507_1100_0,81.030,0.588,43.3,4.3,0.1,18.2,34.1,1.097
507_1100_1,81.146,0.588,42.6,4.4,0.1,17.7,35.2,1.097
507_1100_2,81.218,0.589,42.8,4.1,0.1,18.2,34.8,1.097
507_1100_3,81.226,0.589,42.6,4.2,0.1,18.1,35.0,1.097
507_1100_4,81.314,0.590,42.4,4.3,0.2,18.2,34.8,1.097
507_1200_0,75.296,0.596,41.8,4.2,0.1,17.9,36.0,1.197
507_1200_1,75.495,0.597,42.6,5.0,0.2,17.7,34.4,1.197
507_1200_2,75.270,0.595,43.8,4.2,0.0,18.7,33.3,1.197
507_1200_3,75.399,0.597,42.2,4.2,0.2,18.5,35.0,1.197
507_1200_4,75.255,0.596,42.7,4.3,0.1,18.2,34.8,1.197
507_1300_0,70.360,0.603,42.0,4.2,0.1,19.3,34.3,1.297
507_1300_1,70.422,0.603,41.4,4.3,0.3,19.5,34.5,1.296
507_1300_2,70.526,0.604,41.8,4.3,0.0,20.1,33.8,1.297
507_1300_3,70.565,0.605,41.7,4.3,0.3,19.3,34.4,1.296
507_1300_4,70.574,0.605,41.8,4.1,0.1,19.6,34.4,1.296
507_1500_0,62.664,0.620,39.7,3.8,0.2,22.2,34.0,1.495
507_1500_1,62.704,0.620,41.0,4.4,0.2,20.2,34.3,1.496
507_1500_2,62.550,0.619,40.2,4.2,0.1,20.9,34.6,1.495
507_1500_3,62.759,0.621,40.4,3.9,0.1,21.2,34.4,1.497
507_1500_4,62.767,0.621,40.3,4.1,0.2,21.2,34.2,1.496
507_1600_0,59.504,0.628,40.3,4.1,0.2,22.0,33.4,1.596
507_1600_1,59.508,0.628,39.7,3.9,0.1,22.3,34.0,1.596
507_1600_2,59.458,0.627,40.4,4.2,0.2,22.0,33.2,1.596
507_1600_3,59.554,0.629,39.9,3.9,0.1,22.0,34.1,1.596
507_1600_4,59.472,0.628,40.0,4.1,0.2,21.5,34.2,1.596
507_1700_0,56.679,0.635,39.8,4.3,0.3,22.6,33.0,1.695
507_1700_1,56.830,0.637,39.6,4.0,0.1,23.2,33.0,1.695
507_1700_2,56.649,0.635,39.3,4.2,0.3,22.3,33.9,1.696
507_1700_3,56.762,0.636,39.9,4.3,0.2,22.8,32.9,1.695
507_1700_4,56.781,0.636,39.4,4.3,0.2,22.0,34.1,1.695
507_1800_0,54.276,0.644,39.2,4.0,0.2,23.7,32.9,1.794
507_1800_1,54.216,0.644,38.7,4.3,0.1,23.2,33.7,1.796
507_1800_2,54.199,0.643,39.4,3.9,0.1,23.3,33.3,1.795
